id,bot_id,path,created_at,updated_at,currency,name
1,2,menus/ZTSAlia6wCHsIHyDiFDTEvs5qUNQmI4ZMmOwunvb.pdf,2024-09-08 17:19:19,2024-09-12 21:11:36,Fcfa,Em Sherif Menu
2,5,menus/f6LV9ybm2WpqfQSGG8q3yFIjvLY54hCRNz8JggY5.pdf,2024-09-10 22:03:57,2024-09-10 22:03:57,FCFA,Rico Menu
3,12,menus/KjYjWLDYrk9myQun6WZuNDwf0RKCYH5PvQLGNT3s.pdf,2024-09-16 17:05:38,2024-09-16 17:05:38,FCFA,Golden Ivory Menu
4,15,menus/KjYjWLDYrk9myQun6WZuNDwf0RKCYH5PvQLGNT3s.pdf,2025-01-06 17:06:26,2025-01-06 17:06:26,FCFA,Sept Table Menu
