id,order_id,menu_item_id,quantity,unit_price,total_price,special_instructions,created_at,updated_at
1,1,44,1,10500.0,10500.0,,2025-06-20 19:34:05,2025-06-20 19:34:05
2,1,71,1,9000.0,9000.0,,2025-06-20 19:34:05,2025-06-20 19:34:05
3,2,1,1,5500.0,5500.0,,2025-06-21 13:45:00,2025-06-21 13:45:00
4,3,1,1,5500.0,5500.0,,2025-06-22 01:02:26,2025-06-22 01:02:26
5,3,2,1,6500.0,6500.0,,2025-06-22 01:02:26,2025-06-22 01:02:26
6,4,2,1,6500.0,6500.0,,2025-06-22 01:02:51,2025-06-22 01:02:51
7,5,44,1,10500.0,10500.0,,2025-06-23 16:30:34,2025-06-23 16:30:34
8,5,71,1,9000.0,9000.0,,2025-06-23 16:30:34,2025-06-23 16:30:34
