id,name,phone_number,address,country,notes,website,social_media,business_type,contacted,verified,created_at,updated_at,plan_id
1,Kladi cafe,07826000680,Baghdad - اليرموك,Iraq,,,@kladi_cafe,Restaurant,0,0,2024-09-09 19:20:23,2024-09-09 19:20:23,
2,مطعم نوح,07710011010,Baghdad - مقابيل برج المأمون,Iraq,,,@nooh.rest,Restaurant,0,0,2024-09-09 19:21:56,2024-09-09 19:21:56,
3,Soya restaurant,07709999513,Baghdad - اليرموك,Iraq,,,@soya.iq,Restaurant,0,0,2024-09-09 19:23:02,2024-09-09 19:23:02,
4,Mariam cafe,07717666444,Baghdad - اليرموك,Iraq,,,@mariamcafe.iq,Restaurant,0,0,2024-09-09 19:24:24,2024-09-09 19:24:24,
5,Eve cafe,07844445588,Baghdad - اليرموك,Iraq,,,@eve.iraqi,Restaurant,0,0,2024-09-09 19:26:01,2024-09-09 19:26:01,
6,Rico Cafe,07 06 06 0619,"Rue des Alizés, Abidjan",Cote d'Ivoire,contacted bob on tiktok,,https://www.instagram.com/rico.cafeabidjan/?hl=en,Restaurant,0,0,2024-09-09 20:27:52,2024-09-09 20:27:52,2.0
7,Golden Ivory,‪+2250769981043‬,Adjame,Cote d'ivoire,,,,Shoes,0,0,2024-09-13 15:26:52,2024-09-13 15:26:52,1.0
